filename,numbers,seuil,timeQuickSeuil,timeQuickRdmSeuil
./exemplaires/testset_1000_5.txt,1000,64,1.13899,0.498038
./exemplaires/testset_1000_5.txt,1000,128,2.06048,0.438866
./exemplaires/testset_1000_5.txt,1000,256,3.86847,0.41275
./exemplaires/testset_1000_6.txt,1000,0,0.425907,0.422281
./exemplaires/testset_1000_6.txt,1000,2,0.354467,0.418712
./exemplaires/testset_1000_6.txt,1000,4,0.358742,0.417631
./exemplaires/testset_1000_6.txt,1000,6,0.353295,0.416897
./exemplaires/testset_1000_6.txt,1000,8,0.361053,0.429483
./exemplaires/testset_1000_6.txt,1000,10,0.397813,0.449275
./exemplaires/testset_1000_6.txt,1000,12,0.387466,0.419317
./exemplaires/testset_1000_6.txt,1000,14,0.425586,0.436137
./exemplaires/testset_1000_6.txt,1000,16,0.428677,0.424232
./exemplaires/testset_1000_6.txt,1000,18,0.448781,0.436528
./exemplaires/testset_1000_6.txt,1000,20,0.506559,0.433027
./exemplaires/testset_1000_6.txt,1000,32,0.61848,0.436329
./exemplaires/testset_1000_6.txt,1000,64,0.907469,0.413797
./exemplaires/testset_1000_6.txt,1000,128,1.57024,0.418982
./exemplaires/testset_1000_6.txt,1000,256,2.74488,0.414654
./exemplaires/testset_1000_7.txt,1000,0,0.420119,0.436512
./exemplaires/testset_1000_7.txt,1000,2,0.388095,0.444458
./exemplaires/testset_1000_7.txt,1000,4,0.387452,0.43473
./exemplaires/testset_1000_7.txt,1000,6,0.376083,0.435073
./exemplaires/testset_1000_7.txt,1000,8,0.42223,0.43791
./exemplaires/testset_1000_7.txt,1000,10,0.440755,0.460884
./exemplaires/testset_1000_7.txt,1000,12,0.431934,0.455396
./exemplaires/testset_1000_7.txt,1000,14,0.494753,0.438901
./exemplaires/testset_1000_7.txt,1000,16,0.480886,0.448575
./exemplaires/testset_1000_7.txt,1000,18,0.456475,0.432706
./exemplaires/testset_1000_7.txt,1000,20,0.477256,0.46919
./exemplaires/testset_1000_7.txt,1000,32,0.646676,0.445947
./exemplaires/testset_1000_7.txt,1000,64,1.06485,0.454952
./exemplaires/testset_1000_7.txt,1000,128,1.68245,0.433744
./exemplaires/testset_1000_7.txt,1000,256,3.33115,0.462396
./exemplaires/testset_1000_8.txt,1000,0,0.484035,0.473136
./exemplaires/testset_1000_8.txt,1000,2,0.458875,0.486793
./exemplaires/testset_1000_8.txt,1000,4,0.400224,0.417924
./exemplaires/testset_1000_8.txt,1000,6,0.407936,0.450911
./exemplaires/testset_1000_8.txt,1000,8,0.429423,0.428856
./exemplaires/testset_1000_8.txt,1000,10,0.444138,0.437086
./exemplaires/testset_1000_8.txt,1000,12,0.453105,0.453201
./exemplaires/testset_1000_8.txt,1000,14,0.446028,0.415585
./exemplaires/testset_1000_8.txt,1000,16,0.468815,0.444359
./exemplaires/testset_1000_8.txt,1000,18,0.524609,0.430322
./exemplaires/testset_1000_8.txt,1000,20,0.566149,0.433338
./exemplaires/testset_1000_8.txt,1000,32,0.631366,0.410524
./exemplaires/testset_1000_8.txt,1000,64,0.93712,0.412392
./exemplaires/testset_1000_8.txt,1000,128,1.67955,0.412909
./exemplaires/testset_1000_8.txt,1000,256,2.77706,0.418871
./exemplaires/testset_1000_9.txt,1000,0,0.395712,0.410292
./exemplaires/testset_1000_9.txt,1000,2,0.367202,0.412698
./exemplaires/testset_1000_9.txt,1000,4,0.361975,0.427898
./exemplaires/testset_1000_9.txt,1000,6,0.353626,0.420535
./exemplaires/testset_1000_9.txt,1000,8,0.365703,0.416712
./exemplaires/testset_1000_9.txt,1000,10,0.407437,0.419053
./exemplaires/testset_1000_9.txt,1000,12,0.400152,0.421126
./exemplaires/testset_1000_9.txt,1000,14,0.420987,0.420575
./exemplaires/testset_1000_9.txt,1000,16,0.452015,0.410422
./exemplaires/testset_1000_9.txt,1000,18,0.474695,0.417486
./exemplaires/testset_1000_9.txt,1000,20,0.492827,0.406019
./exemplaires/testset_1000_9.txt,1000,32,0.585533,0.422565
